Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_BUSAVG,2016-02-07,12.01,10.43,9.59,10.58,12.16,14.62,16.4,19.82,23.27,22.0,17.65,16.22,15.59,14.66,13.36,12.96,13.02,15.75,19.53,18.01,17.46,16.06,14.01,12.99
HB_BUSAVG,2016-02-08,9.76,10.1,10.71,11.89,13.69,17.39,28.53,24.43,19.97,17.86,15.7,14.48,13.88,13.37,13.22,13.24,13.59,16.24,24.72,22.34,18.94,17.82,16.31,14.73
HB_BUSAVG,2016-02-09,15.5,15.5,16.0,16.5,17.01,22.66,45.37,31.04,21.57,18.09,17.23,16.84,15.51,15.05,14.57,14.56,14.79,17.25,22.71,19.49,18.65,17.04,16.55,15.02
HB_BUSAVG,2016-02-10,12.8,12.64,12.52,12.9,14.02,18.25,34.95,24.97,20.05,17.42,16.17,15.98,16.4,15.89,15.32,14.94,14.64,16.64,20.22,16.05,15.68,13.91,7.26,5.43
HB_BUSAVG,2016-02-11,3.87,3.38,3.47,4.71,8.97,15.91,23.47,20.76,18.22,18.08,16.95,16.99,17.11,17.83,17.71,17.45,16.83,18.51,24.91,19.85,18.46,17.22,16.43,14.18
HB_BUSAVG,2016-02-12,13.87,12.51,12.57,13.24,14.36,17.24,28.98,22.72,19.28,18.49,18.01,17.51,17.36,17.87,18.08,17.44,16.64,17.65,20.0,17.56,16.13,15.01,13.9,12.05
HB_BUSAVG,2016-02-13,10.0,10.04,10.96,11.06,11.83,13.99,15.99,17.66,21.07,22.39,20.76,17.45,15.65,15.06,14.77,13.97,13.58,15.35,15.76,13.97,10.42,5.55,5.17,4.68
HB_BUSAVG,2016-02-14,2.82,2.29,2.15,3.3,4.43,5.07,8.62,12.93,14.99,17.23,16.63,16.4,17.33,17.05,16.91,16.4,16.25,19.78,28.1,20.99,18.18,17.37,16.41,13.64
HB_BUSAVG,2016-02-15,12.1,10.65,10.36,10.98,12.29,14.25,15.99,16.2,15.03,15.75,16.55,17.34,17.46,17.01,17.02,17.09,16.37,19.43,24.89,22.0,17.49,15.99,14.57,11.1
HB_BUSAVG,2016-02-16,4.95,4.51,4.18,5.06,7.98,13.23,16.59,17.79,15.97,17.07,15.87,16.33,16.57,17.36,17.52,17.59,17.05,18.24,24.15,19.34,16.51,15.52,14.36,13.03
HB_BUSAVG,2016-02-17,11.1,9.66,7.43,7.26,9.66,13.68,16.57,16.9,15.0,15.01,15.28,16.25,16.13,16.23,16.12,15.93,15.23,14.55,15.3,14.44,13.42,11.44,6.05,3.83
HB_BUSAVG,2016-02-18,1.81,2.13,2.12,2.41,3.37,8.0,15.02,15.66,14.45,14.08,14.45,13.33,13.91,14.32,13.27,13.77,14.66,16.14,18.47,15.41,14.33,12.28,7.85,3.14
HB_BUSAVG,2016-02-19,1.79,1.81,1.86,2.93,4.94,10.05,14.6,14.7,14.66,16.0,18.12,20.06,19.98,20.89,20.82,22.34,18.59,18.19,19.63,15.82,14.35,13.94,9.97,5.16
HB_BUSAVG,2016-02-20,8.93,6.58,6.36,6.29,8.99,10.41,10.01,12.15,13.52,15.81,17.2,17.52,18.05,19.94,20.39,22.75,22.36,24.32,25.0,18.97,15.0,13.14,14.78,12.4
HB_BUSAVG,2016-02-21,12.38,11.34,11.25,11.21,11.24,11.53,10.06,10.3,13.49,15.0,15.4,15.0,15.34,17.0,18.0,19.27,19.05,27.89,32.01,20.55,18.0,15.01,15.0,13.66
HB_BUSAVG,2016-02-22,11.81,10.3,10.01,10.01,11.5,15.0,17.0,15.39,16.43,20.08,18.08,19.94,20.38,22.2,19.62,18.94,17.64,19.22,26.18,19.23,18.16,17.27,15.0,13.63
HB_BUSAVG,2016-02-23,9.32,7.87,6.34,6.09,6.4,11.1,15.61,15.0,14.47,14.02,14.44,14.21,13.37,13.84,13.45,13.6,13.02,16.17,21.98,18.36,16.07,12.9,11.76,8.84
HB_BUSAVG,2016-02-24,5.92,4.73,4.88,6.0,10.01,14.4,23.02,20.07,17.85,17.6,16.28,16.83,15.17,15.04,14.24,14.3,14.25,15.98,27.15,23.41,21.04,18.09,16.0,13.99
HB_BUSAVG,2016-02-25,12.66,12.31,12.09,14.22,15.49,19.5,43.84,27.71,19.73,17.3,15.52,15.36,15.3,15.54,15.05,15.02,14.28,16.27,28.82,23.11,19.63,17.98,16.35,14.85
HB_BUSAVG,2016-02-26,12.74,12.27,12.16,13.0,14.35,16.51,41.6,25.84,20.16,17.61,15.51,15.24,14.55,13.79,13.5,13.3,13.19,14.84,22.0,17.58,15.2,13.84,13.33,11.57
HB_BUSAVG,2016-02-27,11.9,11.19,11.0,11.12,12.82,13.99,16.39,19.3,20.6,20.84,16.81,13.96,13.18,13.55,12.09,12.05,12.01,11.95,14.01,11.24,9.65,4.55,5.06,4.29
HB_BUSAVG,2016-02-28,3.35,2.1,2.1,2.39,4.03,4.69,6.55,9.32,12.37,13.47,13.41,13.93,13.96,15.68,14.76,14.23,15.2,17.87,30.07,23.16,16.59,13.94,15.88,14.35
HB_BUSAVG,2016-02-29,8.77,8.19,7.41,7.59,9.77,12.19,17.99,17.87,16.67,18.5,17.25,17.73,19.22,20.99,18.01,21.05,16.81,18.34,29.16,16.82,13.87,12.32,8.58,8.16
HB_BUSAVG,2016-03-01,7.75,6.15,5.98,6.97,9.75,11.86,17.29,13.55,12.51,13.29,14.3,14.36,16.18,18.64,18.23,19.84,20.3,22.07,44.57,27.95,20.47,18.25,16.96,14.27
HB_BUSAVG,2016-03-02,7.64,5.59,4.2,4.19,5.04,9.4,15.15,14.49,13.6,12.88,12.92,11.93,12.69,12.29,12.2,13.32,14.37,17.33,26.6,15.6,12.41,10.55,10.24,7.67
HB_BUSAVG,2016-03-03,5.92,5.03,5.36,7.78,9.91,11.54,14.29,13.13,12.06,13.33,13.91,14.11,16.0,19.47,22.47,22.59,23.98,27.0,46.56,24.13,17.19,14.12,15.23,13.35
HB_BUSAVG,2016-03-04,11.97,9.97,8.66,8.63,9.51,12.9,19.75,13.25,12.24,12.46,13.12,13.11,12.11,12.87,13.83,14.13,14.31,14.96,18.24,12.93,11.39,10.83,12.19,9.49
HB_BUSAVG,2016-03-05,9.64,9.67,9.18,9.65,10.86,12.65,12.15,12.61,13.66,18.52,19.02,19.09,18.12,16.01,14.82,14.9,15.14,15.57,19.92,14.54,12.38,10.12,11.8,8.7
HB_BUSAVG,2016-03-06,5.84,4.64,4.08,4.24,4.83,4.84,8.89,8.91,10.2,11.93,11.79,11.71,12.12,11.63,11.85,12.53,12.43,13.23,23.83,15.62,11.46,10.46,9.61,5.54
HB_BUSAVG,2016-03-07,3.24,1.3,1.22,2.69,4.18,6.99,11.69,11.87,11.61,13.26,15.77,17.6,15.31,15.47,16.15,16.87,16.39,17.45,27.97,21.71,16.5,15.65,14.97,13.91
HB_BUSAVG,2016-03-08,7.72,4.91,4.28,4.92,7.26,10.61,14.08,13.39,13.35,14.97,15.9,16.29,16.2,18.78,18.61,20.1,20.21,22.64,35.03,26.51,20.84,19.86,17.81,15.99
HB_BUSAVG,2016-03-09,14.96,12.95,11.86,12.12,12.19,13.5,19.44,16.57,15.79,16.73,18.88,19.72,18.48,20.28,21.92,20.31,18.9,19.1,33.18,19.92,17.62,15.6,18.0,14.79
HB_BUSAVG,2016-03-10,14.09,10.45,8.66,7.67,8.5,11.96,15.96,14.88,13.71,13.64,15.23,14.41,15.18,15.8,14.75,14.4,15.57,16.31,28.72,18.47,16.61,13.82,12.95,11.23
HB_BUSAVG,2016-03-11,16.34,11.21,10.95,10.91,11.53,13.7,16.37,15.49,16.4,17.77,19.42,19.28,18.97,19.11,18.79,21.53,21.81,24.51,45.04,31.28,25.03,24.27,21.84,19.65
HB_BUSAVG,2016-03-12,24.65,20.03,17.24,16.75,16.75,18.58,18.03,19.47,24.71,28.21,29.49,32.19,24.77,21.51,22.43,20.69,18.17,17.99,23.51,19.48,15.61,14.33,13.05,12.77
